2011-05-12 10:05:46 - INFO --> 12-05-2011 08:05:46 AM, 127.0.0.1, SiteForumVbbAccount, getAll,  
2011-05-12 10:05:58 - INFO --> 12-05-2011 08:05:58 AM, 127.0.0.1, SiteForumVbbAccount, getAll,  
2011-05-12 10:05:59 - INFO --> 12-05-2011 08:05:59 AM, 127.0.0.1, ResultForumVbb, insert,  
2011-05-12 10:06:04 - INFO --> 12-05-2011 08:06:04 AM, 127.0.0.1, SiteForumVbbAccount, getAll,  
2011-05-12 10:06:05 - INFO --> 12-05-2011 08:06:05 AM, 127.0.0.1, ResultForumVbb, insert,  
2011-05-12 13:16:37 - INFO --> 12-05-2011 11:16:37 AM, 127.0.0.1, Strategy, getAll,  
2011-05-12 14:02:05 - INFO --> 12-05-2011 12:02:05 PM, 127.0.0.1, Strategy, getAll,  
2011-05-12 14:04:26 - INFO --> 12-05-2011 12:04:26 PM, 127.0.0.1, Strategy, getAll,  
2011-05-12 14:04:33 - INFO --> 12-05-2011 12:04:33 PM, 127.0.0.1, SiteForumVbb, getAll,  
2011-05-12 14:04:49 - INFO --> 12-05-2011 12:04:49 PM, 127.0.0.1, SiteForumVbbAccount, getAll,  
2011-05-12 14:05:02 - INFO --> 12-05-2011 12:05:02 PM, 127.0.0.1, ForumBoxType, getAll,  
2011-05-12 14:05:16 - INFO --> 12-05-2011 12:05:16 PM, 127.0.0.1, Strategy, getAll,  
2011-05-12 14:05:25 - INFO --> 12-05-2011 12:05:25 PM, 127.0.0.1, ForumBoxType, getAll,  
2011-05-12 14:05:32 - INFO --> 12-05-2011 12:05:32 PM, 127.0.0.1, SiteForumVbbAccount, getAll,  
2011-05-12 14:06:20 - INFO --> 12-05-2011 12:06:20 PM, 127.0.0.1, Strategy, getAll,  
2011-05-12 14:06:26 - INFO --> 12-05-2011 12:06:26 PM, 127.0.0.1, SiteForumVbb, getAll,  
2011-05-12 14:06:31 - INFO --> 12-05-2011 12:06:31 PM, 127.0.0.1, ForumBoxType, getAll,  
2011-05-12 14:06:41 - INFO --> 12-05-2011 12:06:41 PM, 127.0.0.1, ForumBoxType, getAll,  
2011-05-12 14:06:42 - INFO --> 12-05-2011 12:06:42 PM, 127.0.0.1, SiteForumVbb, get,  
2011-05-12 14:06:44 - INFO --> 12-05-2011 12:06:44 PM, 127.0.0.1, DirectPoster, insert,  
2011-05-12 14:06:45 - INFO --> 12-05-2011 12:06:45 PM, 127.0.0.1, DirectPoster, insert,  
2011-05-12 14:06:46 - INFO --> 12-05-2011 12:06:46 PM, 127.0.0.1, DirectPoster, insert,  
2011-05-12 14:06:47 - INFO --> 12-05-2011 12:06:47 PM, 127.0.0.1, DirectPoster, insert,  
2011-05-12 14:06:49 - INFO --> 12-05-2011 12:06:49 PM, 127.0.0.1, DirectPoster, insert,  
