2011-05-09 2:58:14 - INFO --> 08-05-2011 19:58:14 PM, 127.0.0.1, DirectPoster, update,  
2011-05-09 3:00:14 - INFO --> 08-05-2011 20:00:14 PM, 127.0.0.1, ForumBoxType, getAll,  
2011-05-09 3:00:20 - INFO --> 08-05-2011 20:00:20 PM, 127.0.0.1, DirectPoster, update,  
2011-05-09 3:00:29 - INFO --> 08-05-2011 20:00:29 PM, 127.0.0.1, ForumBoxType, insert,  
2011-05-09 3:00:32 - INFO --> 08-05-2011 20:00:32 PM, 127.0.0.1, ForumBoxType, getAll,  
2011-05-09 14:08:35 - INFO --> 09-05-2011 07:08:35 AM, 127.0.0.1, Logs, getAll, anhtuan 
2011-05-09 14:13:38 - INFO --> 09-05-2011 07:13:38 AM, 127.0.0.1, ForumBoxType, getAll,  
2011-05-09 14:13:45 - INFO --> 09-05-2011 07:13:45 AM, 127.0.0.1, ForumBoxType, insert,  
2011-05-09 14:13:52 - INFO --> 09-05-2011 07:13:52 AM, 127.0.0.1, ForumBoxType, insert,  
2011-05-09 14:13:57 - INFO --> 09-05-2011 07:13:57 AM, 127.0.0.1, ForumBoxType, insert,  
2011-05-09 14:14:02 - INFO --> 09-05-2011 07:14:02 AM, 127.0.0.1, ForumBoxType, insert,  
2011-05-09 14:14:08 - INFO --> 09-05-2011 07:14:08 AM, 127.0.0.1, ForumBoxType, insert,  
2011-05-09 14:14:15 - INFO --> 09-05-2011 07:14:15 AM, 127.0.0.1, ForumBoxType, insert,  
2011-05-09 14:14:20 - INFO --> 09-05-2011 07:14:20 AM, 127.0.0.1, ForumBoxType, insert,  
2011-05-09 14:14:25 - INFO --> 09-05-2011 07:14:25 AM, 127.0.0.1, ForumBoxType, insert,  
2011-05-09 14:14:30 - INFO --> 09-05-2011 07:14:30 AM, 127.0.0.1, ForumBoxType, insert,  
2011-05-09 14:14:35 - INFO --> 09-05-2011 07:14:35 AM, 127.0.0.1, ForumBoxType, insert,  
2011-05-09 14:14:42 - INFO --> 09-05-2011 07:14:42 AM, 127.0.0.1, ForumBoxType, insert,  
2011-05-09 14:14:48 - INFO --> 09-05-2011 07:14:48 AM, 127.0.0.1, ForumBoxType, insert,  
2011-05-09 14:14:53 - INFO --> 09-05-2011 07:14:53 AM, 127.0.0.1, ForumBoxType, insert,  
2011-05-09 14:15:01 - INFO --> 09-05-2011 07:15:01 AM, 127.0.0.1, ForumBoxType, getAll,  
2011-05-09 14:15:08 - INFO --> 09-05-2011 07:15:08 AM, 127.0.0.1, ForumBoxType, delete,  
2011-05-09 14:15:11 - INFO --> 09-05-2011 07:15:11 AM, 127.0.0.1, ForumBoxType, delete,  
2011-05-09 14:15:14 - INFO --> 09-05-2011 07:15:14 AM, 127.0.0.1, ForumBoxType, delete,  
2011-05-09 14:15:17 - INFO --> 09-05-2011 07:15:17 AM, 127.0.0.1, ForumBoxType, delete,  
2011-05-09 14:15:20 - INFO --> 09-05-2011 07:15:20 AM, 127.0.0.1, ForumBoxType, delete,  
2011-05-09 14:15:25 - INFO --> 09-05-2011 07:15:25 AM, 127.0.0.1, ForumBoxType, delete,  
2011-05-09 14:15:29 - INFO --> 09-05-2011 07:15:29 AM, 127.0.0.1, ForumBoxType, getAll,  
2011-05-09 14:42:05 - INFO --> 09-05-2011 07:42:05 AM, 127.0.0.1, ForumBoxType, insert,  
2011-05-09 14:42:49 - INFO --> 09-05-2011 07:42:49 AM, 127.0.0.1, ForumBoxType, insert,  
2011-05-09 14:43:58 - INFO --> 09-05-2011 07:43:58 AM, 127.0.0.1, ForumBoxType, insert,  
2011-05-09 14:44:07 - INFO --> 09-05-2011 07:44:07 AM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 14:44:10 - INFO --> 09-05-2011 07:44:10 AM, 127.0.0.1, SiteForumVbb, getAll,  
2011-05-09 14:44:20 - INFO --> 09-05-2011 07:44:20 AM, 127.0.0.1, SiteForumVbb, insert,  
2011-05-09 14:44:22 - INFO --> 09-05-2011 07:44:22 AM, 127.0.0.1, SiteForumVbb, getAll,  
2011-05-09 14:44:33 - INFO --> 09-05-2011 07:44:33 AM, 127.0.0.1, DirectPoster, update,  
2011-05-09 14:44:36 - INFO --> 09-05-2011 07:44:36 AM, 127.0.0.1, SiteForumVbb, getAll,  
2011-05-09 17:53:20 - INFO --> 09-05-2011 10:53:20 AM, 127.0.0.1, SiteForumVbb, getAll, anhtuan 
2011-05-09 17:53:22 - INFO --> 09-05-2011 10:53:22 AM, 127.0.0.1, SiteForumVbb, getAll, anhtuan 
2011-05-09 18:06:08 - INFO --> 09-05-2011 11:06:08 AM, 127.0.0.1, SiteForumVbb, insert,  
